"time","anomaly"
NA,8.45812693425424
1974-06-05,2.9760818307691
1974-06-12,6.83492091398061
1974-06-19,3.02577632590768
1974-06-26,-2.42650878306009
1974-07-03,-5.19838162797989
1974-07-10,0.501431727754895
1974-07-17,-8.05414940759674
1974-07-24,-0.191267859943987
1974-07-31,-9.35493713231479
1974-08-07,-1.29941803094352
1974-08-14,-3.04172975949536
1974-08-21,-0.756079053121908
1974-08-28,-3.80576347682787
1974-09-04,-9.09938646768027
1974-09-11,-14.003132014936
1974-09-18,-9.92615883394798
1974-09-25,-9.30897260604027
1974-10-02,-14.0968743234112
1974-10-09,-1.77020264777584
1974-10-16,-7.29491376909739
1974-10-23,-6.29202097122056
1974-10-30,-0.62883721845902
1974-11-06,5.81947644999144
1974-11-13,-2.49782876277316
1974-11-20,8.40185108066346
1974-11-27,-1.78313211581886
1974-12-04,16.149479488902
1974-12-11,5.01740429801231
1974-12-18,4.16869365515752
1974-12-25,-4.79812819886981
1975-01-01,3.75318999728142
1975-01-08,-10.0399671956043
1975-01-15,2.06569218763901
1975-01-22,7.34830391451439
1975-01-29,9.83686203676887
1975-02-05,12.86494098766
1975-02-12,-21.9253242592716
1975-02-19,-5.06376286856136
1975-02-26,-1.92759448381191
1975-03-05,5.03110732821615
1975-03-12,-3.74175959785203
1975-03-19,-14.7803185730706
1975-03-26,-1.1786535789853
1975-04-02,-2.00676603879038
1975-04-09,6.48920356387184
1975-04-16,7.4530282641214
1975-04-23,0.726509795012293
1975-04-30,0.173839250191179
1975-05-07,-1.23465027662812
1975-05-14,1.23598707464847
1975-05-21,3.41631377366485
1975-05-28,-3.31867748280681
1975-06-04,0.611354071786272
1975-06-11,10.6120412138102
1975-06-18,-3.06915817524007
1975-06-25,-6.52421835931603
1975-07-02,-1.19120439328021
1975-07-09,-2.37918150265354
1975-07-16,0.896600908867811
1975-07-23,1.04759709560271
1975-07-30,-1.93347178604621
1975-08-06,2.81539892824541
1975-08-13,-3.18218931009886
1975-08-20,-3.30126916162716
1975-08-27,-6.79195571699334
1975-09-03,-5.42991949045881
1975-09-10,-5.54758955677104
1975-09-17,-4.13052943448842
1975-09-24,-8.98115350579788
1975-10-01,-6.89997053495187
1975-10-08,-12.4624785950465
1975-10-15,0.473100874159067
1975-10-22,-22.674941950259
1975-10-29,-5.83664069165847
1975-11-05,-4.68828247681085
1975-11-12,5.81278854485954
1975-11-19,6.39002316081994
1975-11-26,7.56189062883313
1975-12-03,3.25631433122318
1975-12-10,6.10725491710002
1975-12-17,-6.48237364027235
1975-12-24,1.04526610022335
1975-12-31,6.88561927053005
1976-01-07,-10.1044009970171
1976-01-14,-3.61427124212988
1976-01-21,-2.54119041974665
1976-01-28,0.894952902784017
1976-02-04,-4.99707268503635
1976-02-11,-8.52972172170446
1976-02-18,5.05917059119773
1976-02-25,-0.743268326153173
1976-03-03,-4.47815722598683
1976-03-10,3.41923855767733
1976-03-17,-3.50784771873837
1976-03-24,-5.73869770998678
1976-03-31,8.63666600572158
1976-04-07,2.60938648957214
1976-04-14,-2.36933955385992
1976-04-21,5.71124858930207
1976-04-28,2.79609643791509
1976-05-05,5.39670401114004
1976-05-12,5.27320473430438
1976-05-19,2.88157199059003
1976-05-26,-0.427574859565315
1976-06-02,-1.49590908419399
1976-06-09,9.123231242557
1976-06-16,4.04141509778093
1976-06-23,5.34611550983352
1976-06-30,2.16051459671136
1976-07-07,6.05158038511204
1976-07-14,0.883088298136816
1976-07-21,-0.299475241398466
1976-07-28,-2.81471566936738
1976-08-04,-3.38805430262891
1976-08-11,-1.29067572204716
1976-08-18,-4.67882463338047
1976-08-25,-1.33077553327204
1976-09-01,1.66828983062049
1976-09-08,0.61287849326229
1976-09-15,2.02717494451235
1976-09-22,-4.03399068070248
1976-09-29,-8.78247304354312
1976-10-06,-13.3903602152549
1976-10-13,-13.0711332001301
1976-10-20,-13.1675928393588
1976-10-27,-1.18350408908167
1976-11-03,1.07592491955491
1976-11-10,-3.97913612276212
1976-11-17,-5.82629373312161
1976-11-24,-1.76920110466894
1976-12-01,6.04539990579779
1976-12-08,0.937291412142908
1976-12-15,4.09625009203713
1976-12-22,-5.83839897908697
1976-12-29,1.28719893377184
1977-01-05,6.01263025940657
1977-01-12,-10.7329405516736
1977-01-19,-2.9959686058155
1977-01-26,2.57735205966906
1977-02-02,4.15862020330646
1977-02-09,5.4598032680851
1977-02-16,-10.6427186137977
1977-02-23,-15.2901176073536
1977-03-02,2.01469056239368
1977-03-09,-8.38059679956746
1977-03-16,1.71773101725906
1977-03-23,0.762344875436619
1977-03-30,-2.14243408418417
1977-04-06,-2.80481602098576
1977-04-13,2.85393340526224
1977-04-20,3.31870095981282
1977-04-27,-0.547868404220237
1977-05-04,-5.33177723771891
1977-05-11,-12.2689450498443
1977-05-18,-9.58962766455594
1977-05-25,-6.34583639854687
1977-06-01,0.111582977397887
1977-06-08,1.85066135056353
1977-06-15,-7.56483139975306
1977-06-22,-3.14549359149815
1977-06-29,-4.20529625249616
1977-07-06,4.92528741808906
1977-07-13,3.47854392747373
1977-07-20,2.28009414356935
1977-07-27,0.656415675277129
1977-08-03,-5.42786288527969
1977-08-10,-2.63783195342912
1977-08-17,1.72639662569519
1977-08-24,4.89527069154979
1977-08-31,-2.32273331109699
1977-09-07,-9.9737817726109
1977-09-14,-0.477820423934438
1977-09-21,3.45066367887151
1977-09-28,1.26652399119713
1977-10-05,-1.35270978823623
1977-10-12,-3.38758742369974
1977-10-19,4.7202189685724
1977-10-26,10.6105054588134
1977-11-02,-2.6544624081145
